Sentences,Figure_OF_Speech
The hail pattered on the tin gutter.,Onomatopoeia
"When he saw the cheese, the mouse could not help but to peep excitedly.",Onomatopoeia
The lunch lady plopped a scoop of something on Kristen’s tray.,Onomatopoeia
Billy will cry if you pop his balloon.,Onomatopoeia
"After eating the knight, the dragon let out a puff of smoke.",Onomatopoeia
Most cats purr if you pet them behind the ears.,Onomatopoeia
The kind man shared his bread with the quacking ducks.,Onomatopoeia
My favorite singers have raspy voices.,Onomatopoeia
Tim would have stepped on the snake had he not heard the rattle of its tail.,Onomatopoeia
The race-car driver revved his engine.,Onomatopoeia
Our peaceful dinner ended when the phone began ringing.,Onomatopoeia
I secretly ripped up the birthday checks that my grandmother sent me.,Onomatopoeia
The lion’s mighty roar could be heard across the Savannah.,Onomatopoeia
The earthquake rumbled the foundations of our house.,Onomatopoeia
When the wind blew the leaves rustled.,Onomatopoeia
He took off so quickly that his tires screeched.,Onomatopoeia
"When Reuben saw what he thought was a ghost, he shrieked like a woman.",Onomatopoeia
I love the sound of bacon sizzling on a weekend.,Onomatopoeia
You could hear the slap echo across the valley.,Onomatopoeia
The thirsty dog slurped the dirty water from the puddle.,Onomatopoeia
The young girl smacked her lips and spoke rudely.,Onomatopoeia
Frank smashed the can on his head.,Onomatopoeia
"After making a rude remark, Jade snapped her fingers and rolled her neck.",Onomatopoeia
"Having never left the city, Juan eagerly sniffed the country air.",Onomatopoeia
Tommy made me laugh so hard in the lunchroom that I snorted milk out of my nose.,Onomatopoeia
The paintball splattered against the windshield.,Onomatopoeia
Fat Pat did a cannonball in the pool and made a big splash.,Onomatopoeia
Mr. Morton told the student to spit out his gum.,Onomatopoeia
Angie sprayed her neighbor with the hose.,Onomatopoeia
Mark tried sneaking in the house but the squeak of his shoes woke up Mom.,Onomatopoeia
Jenna ran around the lunchroom squealing like a pig.,Onomatopoeia
"When he sat down, the young boy squished the unfortunate critter in his pocket.",Onomatopoeia
The musician used a coin to strum the guitar.,Onomatopoeia
Shaun loved the swish of the basketball net.,Onomatopoeia
Mitchel gently tapped the ball into the hole.,Onomatopoeia
Time just keeps on ticking.,Onomatopoeia
Bobby threw his books down with a thud.,Onomatopoeia
That thump made us jump.,Onomatopoeia
"If you see him, toot your horn.",Onomatopoeia
The rain trickled down the gutter.,Onomatopoeia
Birds tweeted long before Twitter did.,Onomatopoeia
The lawyer chased after the wail of the sirens.,Onomatopoeia
The bullet whizzed by his ear.,Onomatopoeia
Bob’s big dogs woofed at the unfortunate mail main.,Onomatopoeia
Beth’s little dog would not stop yapping.,Onomatopoeia
Spaceman Spiff zapped the alien with his ray-gun.,Onomatopoeia
Ronald zipped up his sleeping bag.,Onomatopoeia
The race car zoomed past the finish line.,Onomatopoeia
"How they clang, and clash, and roar!",Onomatopoeia
"Booming and Banging thunder in the air Crashing and Rumbling waves against wet rock Bombing and scraping, lighting the sky Swishing and Sloshing rain on a windscreen Metallic thuds on a tin roof Swishing and Swooshing the flooding roads Howling and Moaning, wind attacking Wavering, Crashing and Sizzling  Power everywhere Thudding and Banging hail on every window Slamming and Echoing doors in the house.",Onomatopoeia
"Of lamentation, like a wind, that shrills",Onomatopoeia
"It’s a jazz affair, drum crashes and cornet razzes.",Onomatopoeia
The trombone pony neighs and the tuba jackass snorts.,Onomatopoeia
"Over the cobbles he clattered and clashed in the dark inn-yard, He tapped with his whip on the shutters, but all was locked and barred…",Onomatopoeia
"Sometimes a thousand twanging instruments Will hum about mine ears, and sometime voices.",Onomatopoeia
But when the blast of war blows in our ears…,Onomatopoeia
"Pity about poor Catherine, though. Tick-tock, tick-tock.",Onomatopoeia
"Pow!” The Joker, making an explosion sound before blowing up a hospital.",Onomatopoeia
Ding-dong the witch is dead!,Onomatopoeia
"And like that, poof, he’s gone.",Onomatopoeia
"Boom, boom, boom. Even brighter than the moon",Onomatopoeia
I got that boom boom pow.” – Boom Boom Pow,Onomatopoeia
"Coming out your mouth with your blah, blah, blah.",Onomatopoeia
"Bang bang, my baby shot me down.",Onomatopoeia
"My baby’s got humor, used to giggle at a funeral I have a dream that one day down in Alabama, with its vicious racists, with its governor having his lips dripping with the words of interposition and nullification…",Onomatopoeia
"At the stroke of the midnight hour, when the world sleeps, India will awake to life and freedom",Onomatopoeia
The rocks kerplunk as they fall into the lake.,Onomatopoeia
Listen to the pitter patter of raindrops on the leaves.,Onomatopoeia
The butterflies flutter as they take flight.,Onomatopoeia
Bees busily buzz as they fly from flower to flower.,Onomatopoeia
Lighting crackles and thunder rumbles.,Onomatopoeia
The boulder hit the ground with a flump.,Onomatopoeia
Leaves rustle in the wind and are whipped into the air.,Onomatopoeia
The waves crashed against the rocks.,Onomatopoeia
Snakes slither among the leaves.,Onomatopoeia
The hail snapped small branches off the trees.,Onomatopoeia
"When I heard a crunching noise, I knew I must have stepped on something I shouldn’t.",Onomatopoeia
She squealed as soon as she saw Fel hiding behind the curtain.,Onomatopoeia
The bird fluttered his wings before he took off.,Onomatopoeia
I can hear the steaks sizzling on the barbecue.,Onomatopoeia
I think I heard a knock from the front door.,Onomatopoeia
The kids were out splashing around the inflatable pool all afternoon.,Onomatopoeia
Nothing is more annoying than the unnecessary clicking of your pen.,Onomatopoeia
I can gulp down a bottle of beer faster than anyone else in this bar.,Onomatopoeia
My cat’s constant meowing kept me up last night.,Onomatopoeia
"I’m not sure what the lunch lady plopped on my tray, but it doesn’t look very appetizing.",Onomatopoeia
I love it when Joshua answers his phone with a raspy voice every morning.,Onomatopoeia
I’ve been paying close attention to the ticking of the clock all day.,Onomatopoeia
I saw Maverick zoom past me in the hallway.,Onomatopoeia
The lion’s roar can be heard across the Cincinnati Zoo.,Onomatopoeia
Little Adam will not be very happy if you pop his balloon.,Onomatopoeia
Don’t honk your horn if you happen to be in a school zone.,Onomatopoeia
The bird’s chirp woke the baby up.,Onomatopoeia
Everyone heard the tremendous boom that came from upstairs.,Onomatopoeia
My dog doesn’t seem to bark at strangers as much as he used to.,Onomatopoeia
The bee keeps buzzing in my ear.,Onomatopoeia
My brother can burp out his favorite song like a pro.,Onomatopoeia
Those clucking chickens make it hard to concentrate on my work.,Onomatopoeia
My puppy crashed into the door when I came home from a night out.,Onomatopoeia
The soda fizzed over the top of my glass.,Onomatopoeia
Marco groaned when he was sent to the principal’s office for the second time today.,Onomatopoeia
"It SHUSHES. It hushes The loudness in the road. It flitter-twitters, And laughs away from me.  It laughs a lovely whiteness, And whitely whirs away.",Onomatopoeia
"Piddle-paddle, piddle-paddle, splash, splash, splash Into the pool with a great big dash!",Onomatopoeia
"water plops into pond splish-splash downhill warbling magpies in tree trilling, melodic thrill",Onomatopoeia
"A cacophonous cannonade of thunder, doesn't it make you wonder? blasting buss of blunder, pitter-patter rain, pouring under, streets awash like tumult tundra, lucid lightning flash, clip-clop heels as people dash",Onomatopoeia
"The Bells""-""How they tinkle, tinkle, tinkle in the icy air of night!",Onomatopoeia
The bee buzzed in my ear.,Onomatopoeia
The boom of the fireworks scared the baby.,Onomatopoeia
The cat meowed for some milk.,Onomatopoeia
Bark! Bark! The dog woke me up.,Onomatopoeia
The swish of the basketball through the hoop excited the crowd.,Onomatopoeia
The sizzle of bacon on the griddle is music to my ears.,Onomatopoeia
The scratching of the tree limb on the window was spooky.,Onomatopoeia
The wolf howled in the night.,Onomatopoeia
The pop of the balloon echoed through the room.,Onomatopoeia
The papers rustled as they fell to the floor.,Onomatopoeia
The water gurgled through the pipes.,Onomatopoeia
I was so hungry that you could hear my stomach gurgling.,Onomatopoeia
"She heard him groan in protest as his eyes slowly opened, adjusting to the light of the room.",Onomatopoeia
"I groan and sigh in failure, nauseous with pain shooting from my extremities.",Onomatopoeia
"He rose with a groan the next morning and pulled his clothes back on, lacing his shoes with some difficulty.",Onomatopoeia
"Achoo!!, echoed around the room as the boy sneezed loudly.",Onomatopoeia
"Ahem"", the teacher exclaimed to get the attention of the two students who were talking in class.",Onomatopoeia
Baa Baa noised the lamb to attract his mother's attention,Onomatopoeia
Bah! I'm tired of writing these sentences!,Onomatopoeia
"Johnny was daydreaming in outfield, when bam, seemingly out of nowhere the baseball landed at his feet.",Onomatopoeia
"On my first morning on the farm, I was awoken suddenly by the cock-a-doodle-do of the resident rooster.",Onomatopoeia
"Ticktock, ticktock… the sound of the clock was all that could be heard in the hospital waiting room.",Onomatopoeia
I ordered online proofreading services with the click of a mouse.,Onomatopoeia
I knew we had finally left the city when I could hear the gentle moo of the cows in the field.,Onomatopoeia
"Quack, quack went the ducks as we threw them our stale bread.",Onomatopoeia
Zip! My dress was fastened and I was finally ready for the wedding.,Onomatopoeia
It was lovely to wake up to the tweet of the birds outside my bedroom window.,Onomatopoeia
"“Compliments to the chef,” roared the giant as he let out a huge belch.",Onomatopoeia
My teeth were chattering as we waited in the freezing cold for the bus to arrive.,Onomatopoeia
"I could hear their buzzing, so I knew there was a bee’s nest around here somewhere.",Onomatopoeia
Please do not beep your horn after dark.,Onomatopoeia
Yuk! That cheese stinks.,Onomatopoeia
The dog sniffed the air; he could smell meat.,Onomatopoeia
The pig squealed.,Onomatopoeia
I love the crunchy texture of fresh lettuce.,Onomatopoeia
"I couldn’t sleep. All I could hear was the drip, drip, drip of the faulty faucet.",Onomatopoeia
"Baa, baa whaled the sheep as the rain began to pour.",Onomatopoeia
I snapped my fingers in time to the beat of the music.,Onomatopoeia
I didn’t see the warning sign and bumped my head on the low doorframe.,Onomatopoeia
The loud boom of the fireworks scared the dog.,Onomatopoeia
The bird fluttered his wings and flew from the cage.,Onomatopoeia
Yikes! That was a close shave.,Onomatopoeia
I was awoken with a start with the loud bleep of my alarm clock.,Onomatopoeia
The cat purred as I gently stroked his fur.,Onomatopoeia
"The magician waved his wand and poof, a rabbit appeared.",Onomatopoeia
The blinds rattled as the wind grew fiercer.,Onomatopoeia
The robbers’ car screeched around the corner as they attempted to escape the police.,Onomatopoeia
"I couldn’t wait to escape the cold and sit by a warm, crackling fire.",Onomatopoeia
The lion let out a loud roar as the ringmaster cracked his whip.,Onomatopoeia
The steaks sizzled on the barbeque.,Onomatopoeia
We clapped our hands it time with the music.,Onomatopoeia
The dog barked as the postman approached the gate.,Onomatopoeia
The mud bubbled on the surface of the bog.,Onomatopoeia
The girl screamed: “Eek!” as the mouse ran from under her bed.,Onomatopoeia
The bells of the church clanged to announce the start of the service.,Onomatopoeia
He fell off the slide and landed on the floor with a thump.,Onomatopoeia
The ball whizzed past my ear and into the catcher’s mitt.,Onomatopoeia
Shh! No talking in the library please.,Onomatopoeia
The train made a choo-choo sound and smoke billowed from its chimney.,Onomatopoeia
I heard a knock at the door.,Onomatopoeia
"He murmured the words, “I’m sorry,” but I didn’t believe he really was.",Onomatopoeia
The machine whirred to a standstill.,Onomatopoeia
He slashed his ex-girlfriend’s tires and felt a strong surge of guilt.,Onomatopoeia
"Tsk,tsk,tsk, you really shouldn’t be eating in class.",Onomatopoeia
I trembled as the door slowly creaked open.,Onomatopoeia
The owl hooted.,Onomatopoeia
Is there a possibility that this year we will hear the pitter-patter of tiny feet?,Onomatopoeia
"The dog splashed around in the water, he was clearly having a lot of fun.",Onomatopoeia
I listened to the rustle of the leaves in the trees and I knew autumn had arrived.,Onomatopoeia
The old man hummed his favorite tune and the passers-by smiled.,Onomatopoeia
"Swoosh, the basketball flew smoothly through the net and the game was won.",Onomatopoeia
"Clang, clang went the bell, reminding us all that it was time for school.",Onomatopoeia
"Ding, dong, there was someone at the door.",Onomatopoeia
Don’t forget to flush the toilet before leaving the bathroom.,Onomatopoeia
"Whoop, whoop! The gorgeous girl at the cinema gave me her phone number.",Onomatopoeia
"Ugh, that cough syrup tastes disgusting.",Onomatopoeia
Phew! I only just made it on time.,Onomatopoeia
I know when the teacher is approaching because I can hear the jangle of her bracelets.,Onomatopoeia
Huh?  Could you speak up please?,Onomatopoeia
"If we all help, the house will be clean faster than you can click your fingers.",Onomatopoeia
"Scrooge is famous for saying: “Bah, hum bug.”",Onomatopoeia
I dropped the medicine into the glass and it fizzled until it dissolved.,Onomatopoeia
Ouch!  You just stepped on my toe.,Onomatopoeia
I had second thoughts about visiting Joe when his dog started to growl at me.,Onomatopoeia
The twang of the banjo string hurt my ears.,Onomatopoeia
Ahem! I can hear everything you are saying about me.,Onomatopoeia
Please whisper while you are in the library.,Onomatopoeia
I gurgled the mouthwash as the dentist had instructed.,Onomatopoeia
I could hear the dog whine as I closed the door and I felt terribly guilty about leaving him on his own.,Onomatopoeia
"You scared me when you shouted, “boo.”",Onomatopoeia
He whipped out his magic wand and cast an amazing spell.,Onomatopoeia
I wish you wouldn’t slurp your drink like that.,Onomatopoeia
"Your dog barks all night, can you try and keep him quiet please.",Onomatopoeia
"“You will never beat me at tennis,” he snorted.",Onomatopoeia
"I wish you wouldn’t mumble your words, I can’t understand what you’re saying.",Onomatopoeia
Ow! That hurt.,Onomatopoeia
Shuffle the cards again.,Onomatopoeia
"As she sat in the chair, kerplunk it collapsed.",Onomatopoeia
Drink some water to help stop your hiccups.,Onomatopoeia
The champagne tickled her nose and made her giggle.,Onomatopoeia
There was a loud vroom as he revved the engine.,Onomatopoeia
He tapped loudly on the windowpane.,Onomatopoeia
"Splat, the ink spilled onto the book and ruined the page.",Onomatopoeia
She popped the balloon with a pin.,Onomatopoeia
The snakes in the pit hissed menacingly.,Onomatopoeia
The tinkle of the rain could be heard in the distance and we knew it was coming our way.,Onomatopoeia
I took her shopping but she moaned throughout the day.,Onomatopoeia
Zap! The ghosts were eradicated with the laser gun.,Onomatopoeia
Please do not gargle with your water like that; drink it properly.,Onomatopoeia
The water gushed down the stream to the waterfall.,Onomatopoeia
Someone shut that dog up! I’m tired of her yapping at us all day.,Onomatopoeia
I gobbled down my food as quickly as I could so that I could go and play football.,Onomatopoeia
The ding-dong of the doorbell is not loud enough.,Onomatopoeia
We heard the tlot–tlot of the horse’s hooves.,Onomatopoeia
I squashed the snail when I stood on it by accident.,Onomatopoeia
The wolf howled at the moon.,Onomatopoeia
"For breakfast he had a cereal that went “snap, crackle and pop” as he poured on the milk.",Onomatopoeia
A door banged and someone sneezed “atishoo.”,Onomatopoeia
The crowd murmured as the judge announced the verdict.,Onomatopoeia
Meow purred the cat.,Onomatopoeia
Boing went the bouncy ball!,Onomatopoeia
Santa Claus' helpers are known as subordinate Clauses. ,Pun
She had a photographic memory but never developed it. ,Pun
The two pianists had a good marriage. They always were in a chord. ,Pun
"I was struggling to figure out how lightning works, but then it struck me. ",Pun
The grammarian was very logical. He had a lot of comma sense. ,Pun
A chicken farmer's favorite car is a coupe. ,Pun
What do you call a person rabid with wordplay? An energizer punny. ,Pun
I've been to the dentist many times so I know the drill. ,Pun
What did one plant say to another? What's stomata? ,Pun
The other day I held the door open for a clown. I thought it was a nice jester. ,Pun
A chicken crossing the road is truly poultry in motion. ,Pun
The politician is not one for Indian food. But he's good at currying favors. ,Pun
How do construction workers party? They raise the roof. ,Pun
A boiled egg every morning is hard to beat. ,Pun
"When a woman returns new clothing, that's post-traumatic dress syndrome. ",Pun
"After hours of waiting for the bowling alley to open, we finally got the ball rolling. ",Pun
"Two antennas met on a roof, fell in love and got married. The ceremony wasn't much, but the reception was brilliant! ",Pun
Always trust a glue salesman. They tend to stick to their word. ,Pun
Guerrilla warfare is more than just throwing a banana. ,Pun
The cartoon animator felt imprisoned by his job. He could not free himself from his cel. ,Pun
"I thought Santa was going to be late, but he arrived in the Nick of time. ",Pun
Every calendar's days are numbered. ,Pun
A bicycle can't stand on its own because it is two-tired. ,Pun
"No matter how much you push the envelope, it will still be stationery. ",Pun
A dog gave birth to puppies near the road and was cited for littering. ,Pun
"If you don't pay your exorcist, you will get repossessed. ",Pun
A pessimist's blood type is always B-negative. ,Pun
I went to a seafood disco last week... and pulled a mussel. ,Pun
"Two peanuts walk into a bar, and one was a-salted. ",Pun
Reading while sunbathing makes you well red. ,Pun
"You can tune a guitar, but you can't tuna fish. Unless, of course, you play bass.",Pun
Time flies like an arrow. Fruit flies like a banana.,Pun
Hanging is too good for a man who makes puns; he should be drawn and quoted. ,Pun
Denial ain't just a river in Egypt.,Pun
Atheism is a non-prophet institution,Pun
I saw a documentary on how ships are kept together. Riveting!,Pun
New Study of Obesity Looks for Larger Test Group ,Pun
Safety Experts Say School Bus Passengers Should Be Belted ,Pun
Juvenile Court Tried Shooting Defendant ,Pun
Farmer Bill Dies in House ,Pun
Eye Drops Off Shelf ,Pun
Hospitals are Sued by Seven Foot Doctors ,Pun
Residents Warned to Protect Fish and Hens to Avoid Otter Devastation ,Pun
Big Rig Carrying Fruit Crashes on 210 Freeway - Creates Jam ,Pun
"The Greatest Flow on Earth - About Golden Corrals' caramel, chocolate and white chocolate fountains ",Pun
Atheism is a non-prophet organization.,Pun
Give me a torch: I am not for this ambling; Being but heavy I will bear the light.,Pun
"ask for me tomorrow, you shall find me a grave man.",Pun
Now is thewinter of our discontentMade glorious summer by this sun of York.,Pun
Her starched petticoats giving him the slip.,Pun
"Why is John Milton terrible to invite to game night? Because when he's around, there's apair of dice lost.",Pun
"What makes ""Civil Disobedience"" such a great essay? Thorough editing.",Pun
How did Voltaire like his apples? Candied.,Pun
Charlotte Bronte is a breath of fresh air.,Pun
"About a month before he died, my uncle had his back covered in lard. After that, he went down hill fast.",Pun
"Just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.",Pun
"Doctor, there's a patient on line 1 that says he's invisible",Pun
"Well, tell him I can't see him right now.",Pun
"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed.",Pun
"My dad died when we couldn't remember his blood type. As he died, he kept insisting for us to ""be positive,"" but it's hard without him.",Pun
My girlfriend broke up with me so I took her wheelchair. Guess who came crawling back.,Pun
"My girlfriend told me she was leaving me because I keep pretending to be a Transformer. I said, ""No, wait! I can change.""",Pun
I can't believe I got fired from the calendar factory. All I did was take a day off.,Pun
"A mexican magician was doing a magic trick. He said, Uno, Dose, and he disappeared without a trace",Pun
"Thanks for explaining the word ""many"" to me, it means a lot.",Pun
"eBay is so useless. I tried to look up lighters and all they had was 13,749 matches.",Pun
I'm reading a book about anti-gravity. It's impossible to put down.,Pun
Don't spell part backwards. It's a trap.,Pun
"I wasn't originally going to get a brain transplant, but then I changed my mind.",Pun
How did I escape Iraq? Iran.,Pun
"The future, the present and the past walked into a bar. Things got a little tense.",Pun
Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.,Pun
Did you hear about the guy who got hit in the head with a can of soda? He was lucky it was a soft drink.,Pun
R.I.P boiled water. You will be mist.,Pun
"Don't trust atoms, they make up everything.",Pun
I just found out I'm colorblind. The diagnosis came completely out of the purple.,Pun
"What's the difference of deer nuts and beer nuts? Beer nuts are a $1.75, but deer nut are under a buck.",Pun
Why was Cinderella thrown off the basketball team? She ran away from the ball.,Pun
"I bought some shoes from a drug dealer. I don't know what he laced them with, but I've been tripping all day.",Pun
I'd tell you a chemistry joke but I know I wouldn't get a reaction.,Pun
"I was addicted to the hokey pokey... but thankfully, I turned myself around.",Pun
Atheists don't solve exponential equations because they don't believe in higher powers.,Pun
"What is the best thing about living in Switzerland? Well, the flag is a big plus.",Pun
"My boss is going to fire the employee with the worst posture. I have a hunch, it might be me.",Pun
"I saw an ad for burial plots, and thought to myself this is the last thing I need.",Pun
Claustrophobic people are more productive thinking out of the box.,Pun
"I got a new pair of gloves today, but they're both 'lefts' which, on the one hand, is great, but on the other, it's just not right.",Pun
I accidentally handed my wife a glue stick instead of a chapstick. She still isn't talking to me.,Pun
"When I lose the TV controller, it's always hidden in some remote destination.",Pun
I have a few jokes about unemployed people but it doesn't matter none of them work.,Pun
"To the mathematicians who thought of the idea of zero, thanks for nothing!",Pun
"I'm glad I know sign language, it's pretty handy.",Pun
I'm emotionally constipated. I haven't given a shit in days.,Pun
A cop just knocked on my door and told me that my dogs were chasing people on bikes. My dogs don't even own bikes...,Pun
"Thieves had broken into my house and stolen everything except my soap, shower gel, towels and deodorant. Dirty Bastards.",Pun
What's the difference between a poorly dressed man on a bicycle and a nicely dressed man on a tricycle? A tire.,Pun
"What did E.T.'s mother say to him when he got home? ""Where on Earth have you been?!""",Pun
Did you hear about the kidnapping at school? ,Pun
It's okay. He woke up.,Pun
I ordered 2000 lbs. of chinese soup. It was Won Ton.,Pun
Oxygen is proven to be a toxic gas. Anyone who inhales oxygen will normally dies within 80 years.,Pun
Why do the French eat snails? They don't like fast food.,Pun
A courtroom artist was arrested today for an unknown reason... details are sketchy.,Pun
"If a short psychic broke out of jail, then you'd have a small medium at large.",Pun
"My wife likes it when I blow air on her when she's hot, but honestly... I'm not a fan.",Pun
Most people are shocked when they find out how bad I am as an electrician,Pun
If 4 out of 5 people SUFFER from diarrhea... does that mean that one enjoys it?,Pun
"When I get naked in the bathroom, the shower usually gets turned on.",Pun
"A friend of mine tried to annoy me with bird puns, but I soon realized that toucan play at that game.",Pun
"I used to be addicted to soap, but I'm clean now.",Pun
"I've just written a song about tortillas - actually, it's more of a rap.",Pun
"A termite walks into a bar and says, ""Where is the bar tender?""",Pun
"If a child refuses to sleep during nap time, are they guilty of resisting a rest?",Pun
"My first job was working in an orange juice factory, but I got canned: couldn't concentrate.",Pun
What do you call it when worms take over the world? Global Worming!,Pun
To write with a broken pencil is pointless.,Pun
I don't engage in mental combat with the unarmed.,Pun
A book just fell on my head. I've only got myshelf to blame.,Pun
My math teacher called me average. How mean!,Pun
I bought a dictionary and when I got home I realized all the pages were blank; I have no words for how angry I am.,Pun
Dr.'s are saying not to worry about the bird flu because it's tweetable.,Pun
"My girlfriend said, ""You act like a detective too much. I want to split up."" ""Good idea,"" I replied. ""We can cover more ground that way.""",Pun
My boss told me to have a good day. So I went home.,Pun
Police have arrested the World tongue-twister Champion. I imagine he'll be given a tough sentence.,Pun
What do you call a laughing motorcycle? A Yamahahaha.,Pun
Why did the scientist install a knocker on his door? He wanted to win the No-bell prize!,Pun
"I am on a seafood diet. Every time I see food, I eat it.",Pun
For Halloween we dressed up as almonds. Everyone could tell we were nuts.,Pun
Did you hear about the man who jumped off a bridge in France? He was in Sein.,Pun
"I couldn't quite remember how to throw a boomerang, but eventually, it came back to me.",Pun
What do you have to do to have a party in space? You have to Planet.,Pun
"I'm no photographer, but I can picture us together.",Pun
"What was Forrest Gump's email password? ""1forrest1""",Pun
"Two windmills are standing in a field and one asks the other, ""What kind of music do you like?"" ",Pun
"The other says, ""I'm a big metal fan.""",Pun
This morning some clown opened the door for me. I thought to myself that's a nice Jester.,Pun
I found a rock yesterday which measured 1760 yards in length. Must be some kind of milestone.,Pun
Heard about the drug addict fisherman who accidentally caught a duck? Now he's hooked on the quack.,Pun
Why couldn't the leopard play hide and seek? Because he was always spotted.,Pun
Sign at the Urologist's office: URINE good hands.,Pun
What do you call a dictionary on drugs? HIGH-Definition.,Pun
Someone stole my toilet and the police have nothing to go on.,Pun
I threw an Asian man down a flight of stairs. It was Wong on so many levels.,Pun
I relish the fact that you've mustard the strength to ketchup to me.,Pun
"If you believe that the quickest way to a man's heart is the stomach, you know that you are aiming a little too high.",Pun
Why don't aliens visit our planet? Terrible ratings. One star.,Pun
"It's been raining for 3 days without stopping. My wife is in depression, she is standing and looking through the window. If the rain doesn't stop tomorrow, I'll have to let her in.",Pun
"I wanna make a joke about sodium, but Na..",Pun
"I used to be a banker, but then I lost interest.",Pun
"The therapist asked my wife why she wanted to end our marriage. She said she hated all the constant Star Wars puns. I look at the therapist and said, ""Divorce is strong with this one!""",Pun
"Got my girlfriend a ""get better soon"" card. She's not sick, I just think she could get better.",Pun
What happens if you eat yeast and shoe polish? Every morning you will rise and shine!,Pun
"A bus station is where a bus stops. A train station is where a train stops. On my desk, I have a work station..",Pun
Why do seagulls fly over the sea? Because if they flew over the bay they'd be bagels!,Pun
How did Jesus' crucifixion save us? It's 'cause he nailed it!,Pun
With great reflexes comes great response ability.,Pun
I recently got a new Korean mechanic but it's hard to understand him - he speaks with a Hyundai Accent!,Pun
Last time I got caught stealing a calendar I got 12 months.,Pun
Did you hear about the Italian chef with a terminal illness? He pastaway.,Pun
"Justice is a dish best served cold because if it were served warm, it would be justwater.",Pun
What do you call a priest that becomes a lawyer? A father in law.,Pun
"A teacher asks a student, ""Are you ignorant or just apathetic?"" The kid answers, ""I don't know and I don't care.""",Pun
What do prisoners use to call each other? Cell phones.,Pun
I tried to escape the Apple store. I couldn't because there were no Windows.,Pun
Having sex in an elevator is wrong on so many levels.,Pun
People don't get my puns. They think they're funny.,Pun
"Confucius say, man who runs behind car will get exhausted, but man who runs in front of car will get tired.",Pun
My doctors office has two doctors on call at all times. Is that considered a pair a docs.,Pun
"My boss says I intimidate the other employees, so I just stared at him until he apologized.",Pun
Did you hear about these new reversible jackets? I'm excited to see how they turn out.,Pun
I was born to be a pessimist. My blood type is B Negative.,Pun
What do you call a cow with no legs? Ground beef.,Pun
What do you call people who are afraid of Santa Claus? Claustrophobic,Pun
"My psychiatrist said I was pre-occupied with the vengeance I told him ""oh yeah we'll see about that!""",Pun
I had a neck brace fitted years ago and I've never looked back since.,Pun
How do trees access the internet? They log in.,Pun
I hate peer pressure and you should too.,Pun
"The doctor told his patient to stop using a Q-tip, but it went in one ear and out the other.",Pun
What is a baptized Mexican called? Bean dip.,Pun
What did one eye say to the other eye? Between you and me something smells.,Pun
Why couldn't the bike stand up on it's own? It was two tired.,Pun
How can you spot the blind guy at the nudist colony? It's not hard.,Pun
My computer's got Miley Virus. It has stopped twerking.,Pun
"I hate insects puns, they really bug me.",Pun
Someone broke into my house last night and stole my Limbo stick. How low can you get?,Pun
"My grandfather tried to warn them about the Titanic. He screamed and shouted about the iceberg and how the ship was going to sink, but all they did was throw him out of the theater.",Pun
"The first time I got a universal remote control, I thought to myself ""This changes everything"".",Pun
Why did the bee get married? Because he found his honey.,Pun
"I worked in the woods as a lumberjack, but I just couldn't hack it, so they gave me the ax.",Pun
Did you hear about that guy who fell into the infinity pool? Yeah... it took him forever to get out.,Pun
"As a wizard, I enjoy turning objects into a glass. Just wanted to make that clear.",Pun
"I always wanted to marry an Archeologist. The older I would get, the more interested she would become!",Pun
"I bought a box of condoms earlier today. The cashier asked if I'd like a bag. I said ""nah, I'll just turn the lights off.""",Pun
"Q: What do you call a cow with a twitch? A: ""Beef Jerky!"" A hole was found in the wall of a nudist camp. The police are looking into it.",Pun
"Every time I tell a punny cow joke, I butcher it.",Pun
"I was going to give him a nasty look, but he already had one.",Pun
I am so poor I can't even pay attention.,Pun
"I'm changing my name to 'Benefits' on Facebook. Next time someone adds me, It will say ""you are now friends with Benefits.""",Pun
What do you call a cow during an earthquake? A milkshake.,Pun
Do German cats have multiple lives? Nein.,Pun
I'm reading a horror story in Braille. Something bad is about to happen... I can feel it.,Pun
What happened when the semicolon broke grammar laws? It was given two consecutive sentences.,Pun
The best time to open a gift is the present.,Pun
"I just found an origami porn channel, but it is paper view only.",Pun
What is the name of an Asian pilot who died in a plane crash? Sum Ting Wong.,Pun
What do you call Watson when Sherlock isn't around? Holmeless.,Pun
"I've decided to sell my Hoover... well, it was just collecting dust.",Pun
It's hard to explain puns to kleptomaniacs because they always take things literally.,Pun
"I got a part in a movie called ""Cocaine"". I only have one line.",Pun
"Q: What did one ocean say to the other ocean? A: Nothing, they just waved.",Pun
What do sea monsters eat for lunch? Fish and ships.,Pun
"I had a job tying sausages together, but I couldn't make ends meet.",Pun
"My buddy set me up on a blind date & said, ""Heads up, she's expecting a baby."" Felt like an idiot sitting in the bar wearing just a diaper.",Pun
Cleaning mirrors is a job I could really see myself doing.,Pun
"My girlfriend tried to make me have sex on the hood of her Honda Civic. I refused. If I'm going to have sex, it's going to be on my own Accord.",Pun
What do you call an academically successful slice of bread? An honor roll.,Pun
Anyone who wanted to sell fish had to get permission from grandpa. He was known as the cod father.,Pun
